case,pixel,rmse,correlation
fire_1,84890574,0.07006275674041035,0.9421928321027401
fire_1,84890575,0.1001230839522448,0.8181078474233384
fire_1,84897411,0.058697805504860964,0.9416685529543353
fire_1,84897412,0.0756040560980853,0.9380554539747435
fire_1,84897413,0.08900107601770872,0.9231221609429258
fire_1,84897414,0.08871183850659727,0.8779847798486653
fire_1,84897415,0.08457313911619564,0.8873083009952502
fire_1,84897416,0.09526314417933389,0.8946474411565998
fire_1,84897417,0.10700600747557147,0.8708368302305168
fire_1,84904327,0.06698963949494101,0.9237493435405665
fire_1,84904328,0.078194581567817,0.936251672177656
fire_1,84904329,0.07283694052571572,0.9365715239696978
fire_2,84904331,0.11967307576469999,0.8287315282890929
fire_2,84904332,0.10094024476352556,0.9031482223209552
fire_2,84904333,0.10379591536800273,0.9149520626702787
fire_2,84911242,0.09032166619924233,0.9146256515483513
fire_2,84911243,0.0903074462431363,0.9068356581138827
fire_2,84911244,0.10632873126683137,0.835323516728892
fire_2,84911245,0.10985096987500471,0.8416396009753897
fire_2,84911246,0.09726212294384605,0.9032818969593843
fire_2,84911247,0.09879892147142175,0.9257057639981209
fire_2,84911248,0.09246316129808661,0.9369025732320615
fire_2,84918078,0.08525777604439544,0.9372483200290243
fire_2,84918079,0.0833047379858505,0.9309937762910179
broad_low_1,90399131,0.06478376594847852,0.9448426310210339
broad_low_1,90399132,0.06148194194119985,0.9500509711173889
broad_low_1,90407226,0.05178000588692934,0.9650916449592764
broad_low_1,90407227,0.04830037512021169,0.9702316082990395
broad_low_1,90407228,0.045620139963258505,0.9730968633192555
broad_low_1,90407229,0.05748033578130541,0.9574056483253328
broad_low_1,90407230,0.0634906856362502,0.947451257935353
broad_low_1,90407231,0.06220949794238847,0.9488100279169055
broad_low_1,90407232,0.05272778179987742,0.9635806419487402
broad_low_1,90415331,0.053937998917404355,0.9608465427752689
broad_low_1,90415332,0.04634968544009683,0.972264767637186
broad_low_1,90415333,0.048559507921587246,0.9701937459463911
broad_low_2,90415335,0.05684326253049574,0.9577044073514758
broad_low_2,90415336,0.05897495891716681,0.9545529925445062
broad_low_2,90415337,0.05712144189253762,0.9571394528364783
broad_low_2,90423462,0.051721018248696,0.9637078142875942
broad_low_2,90423463,0.0490292226607535,0.9682908249167593
broad_low_2,90423464,0.05458941191306665,0.9606744055141215
broad_low_2,90423465,0.05760402756898235,0.9559919597336957
broad_low_2,90423466,0.05260990871366887,0.9636956445785848
broad_low_2,90423467,0.05539673468774812,0.9601728386182826
broad_low_2,90423468,0.056237900226433477,0.9588843530174919
broad_low_2,90431568,0.05167790133757411,0.9624536567822991
broad_low_2,90431569,0.05289665685866252,0.9614603753583432
broad_high_1,93665568,0.10013850548745512,0.7976436138040963
broad_high_1,93665569,0.0946939800052653,0.8894650701550685
broad_high_1,93671599,0.09291441550271026,0.8569665903077149
broad_high_1,93671600,0.0535425883032364,0.9543323302436502
broad_high_1,93671601,0.07321363607549347,0.9041282020307148
broad_high_1,93671602,0.08701279902097257,0.8300428386123195
broad_high_1,93671603,0.09814169975402834,0.8259774184843574
broad_high_1,93671604,0.11919747253500342,0.8445764922540341
broad_high_1,93671605,0.11771466844172436,0.8811135321496312
broad_high_1,93677701,0.09068529556727564,0.8593123534727913
broad_high_1,93677702,0.07006662283718587,0.9196615337209036
broad_high_1,93677703,0.06497859055616205,0.9186761620447861
broad_high_2,93677705,0.08527339421064153,0.9086395108013958
broad_high_2,93677706,0.07734021315590729,0.9455745637346245
broad_high_2,93677707,0.059905645202117996,0.9693702423437411
broad_high_2,93683767,0.08608927168493284,0.8553766687749543
broad_high_2,93683768,0.09039397359147557,0.8604834533294093
broad_high_2,93683769,0.08426777478011016,0.8785615099950745
broad_high_2,93683770,0.07000789865559792,0.9285547690289816
broad_high_2,93683771,0.09747670006150662,0.9089492700075507
broad_high_2,93683772,0.06332816093055181,0.9688059129987703
broad_high_2,93683773,0.07089636012813434,0.9573244967693879
broad_high_2,93689899,0.0835215465168233,0.8737261307140273
broad_high_2,93689900,0.0823642320056554,0.9019051442315749
ever_low_1,46039617,0.11573278942029176,0.4222221318128269
ever_low_1,46039618,0.10724121184439232,0.4932888397493259
ever_low_1,46039619,0.10169328710478098,0.5117195952082049
ever_low_1,46039620,0.1098070650587733,0.46433904594363956
ever_low_1,46046483,0.09632132764886377,0.4760492783496865
ever_low_1,46046484,0.10135030794270158,0.4605062228974566
ever_low_1,46046485,0.10662469154330538,0.46068012154129967
ever_low_1,46046486,0.1153735131523165,0.46107773087520987
ever_low_1,46046487,0.11069803889710982,0.47167948643325003
ever_low_1,46053256,0.10259150669635336,0.43068893861068924
ever_low_1,46053257,0.08528800651730649,0.4912888433503679
ever_low_1,46053258,0.09677122116408918,0.5060151274775808
ever_low_2,46053260,0.1186352963427731,0.44659450815326107
ever_low_2,46059979,0.10490758535615498,0.49319748734332824
ever_low_2,46059980,0.11592879273052036,0.43734358602098683
ever_low_2,46059981,0.11365662606845782,0.4515130478787054
ever_low_2,46059982,0.1111514475450753,0.42911008511799853
ever_low_2,46059983,0.10007620473905053,0.5207472519223086
ever_low_2,46059984,0.10732028473555454,0.46580612056871773
ever_low_2,46066818,0.11048562341206267,0.543334955249764
ever_low_2,46066819,0.13273707014405364,0.4245560315450064
ever_low_2,46066820,0.10497195029978298,0.5645180287605199
ever_low_2,46066821,0.11006065641463743,0.515571289697634
ever_low_2,46066822,0.10596254155347054,0.44942504350719964
ever_high_1,54218568,0.18287387900698793,0.5690559032232566
ever_high_1,54218569,0.17649060995661614,0.6074591222770733
ever_high_1,54225600,0.15513617897327558,0.5380841907857847
ever_high_1,54225601,0.14131996646752049,0.5453674979292743
ever_high_1,54225602,0.1497601123249156,0.48200388705725755
ever_high_1,54225603,0.1519423630271388,0.6332380942952375
ever_high_1,54225604,0.17068920411518695,0.5891914377700274
ever_high_1,54225605,0.18033742622106136,0.5660833899829951
ever_high_1,54225606,0.17348775876515685,0.5948880035121131
