case,pixel,rmse,correlation
fire_1,84890574,0.06161688282808113,0.9518433762612274
fire_1,84890575,0.0867210002123866,0.8420150902589233
fire_1,84897411,0.058219445047584084,0.9314989966055939
fire_1,84897412,0.07346223610763569,0.9388545923729975
fire_1,84897413,0.08340761654548663,0.9326020530803992
fire_1,84897414,0.07707213609904326,0.9069290545216353
fire_1,84897415,0.06890640239605364,0.9247330379747902
fire_1,84897416,0.07826231576879694,0.9266648946396429
fire_1,84897417,0.08225960969091094,0.9211047376810632
fire_1,84904327,0.06510752053071096,0.9247637847131303
fire_1,84904328,0.07054538091555089,0.9433284617327781
fire_1,84904329,0.07766415326635293,0.9286052546319646
fire_2,84904331,0.09372412465800076,0.8890800692639985
fire_2,84904332,0.08619741260456538,0.9283149885165161
fire_2,84904333,0.08841492536141529,0.9372402928520901
fire_2,84911242,0.08331615858865549,0.93169344401416
fire_2,84911243,0.08558787219290183,0.9209106266436127
fire_2,84911244,0.10512214328057946,0.8440313782403189
fire_2,84911245,0.11388847149891393,0.8352428568289435
fire_2,84911246,0.08381744942947117,0.9231170229192979
fire_2,84911247,0.08134738148860876,0.9461318774134087
fire_2,84911248,0.07277564775138588,0.9596254490658542
fire_2,84918078,0.06725084023828312,0.9650751854232968
fire_2,84918079,0.06990540275711211,0.956183924422637
broad_low_1,90399131,0.04699029276339481,0.9645414242516342
broad_low_1,90399132,0.04834556039412752,0.9601895420137245
broad_low_1,90407226,0.04428328942951828,0.9694916447946796
broad_low_1,90407227,0.04051821557971474,0.9750167284937955
broad_low_1,90407228,0.03987856293908661,0.975891032773245
broad_low_1,90407229,0.04292135217389854,0.9715740180837372
broad_low_1,90407230,0.04829088937802896,0.963494510212216
broad_low_1,90407231,0.04903843882700052,0.960471476129138
broad_low_1,90407232,0.04602980624920029,0.9640231316915896
broad_low_1,90415331,0.04681161199772371,0.9652028533486001
broad_low_1,90415332,0.03973416774218963,0.9755654289771338
broad_low_1,90415333,0.04176116048575172,0.9735031190958473
broad_low_2,90415335,0.04791591487406864,0.9647671713215419
broad_low_2,90415336,0.04784003294095362,0.9640308711045394
broad_low_2,90415337,0.044781801371179604,0.9675533687802874
broad_low_2,90423462,0.044784495623058175,0.9680217113069175
broad_low_2,90423463,0.041175610245862984,0.9734259575626235
broad_low_2,90423464,0.04280310108273984,0.9713719704524066
